ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,855180
2,9.5,霸王别姬,612948
3,9.4,这个杀手不太冷,818914
4,9.4,阿甘正传,699394
5,9.5,美丽人生,407807
6,9.2,千与千寻,651348
7,9.4,辛德勒的名单,376560
8,9.2,泰坦尼克号,643287
9,9.2,盗梦空间,751392
10,9.3,机器人总动员,492816
11,9.2,海上钢琴师,592127
12,9.1,三傻大闹宝莱坞,663693
13,9.2,忠犬八公的故事,446593
14,9.2,放牛班的春天,445521
15,9.2,大话西游之大圣娶亲,480177
16,9.1,龙猫,412151
17,9.2,教父,338848
18,9.0,楚门的世界,445404
19,9.2,乱世佳人,267713
20,9.1,天堂电影院,306087
21,9.1,触不可及,360869
22,8.9,当幸福来敲门,531381
23,9.0,搏击俱乐部,400179
24,9.2,熔炉,244985
25,9.0,无间道,391697
