,word,num
0,the,208
1,and,181
2,to,135
3,of,112
4,that,110
5,a,83
6,we,74
7,in,68
8,i,62
9,for,61
10,our,56
11,is,45
12,you,40
13,who,40
14,this,37
15,but,36
16,will,34
17,on,32
18,it,32
19,are,31
20,promise,29
21,not,29
22,more,28
23,as,28
24,have,26
25,has,24
26,with,23
27,what,22
28,us,21
29,mccain,20
30,so,20
31,from,20
32,america,20
33,because,20
34,my,19
35,when,19
36,one,19
37,your,18
38,time,18
39,american,18
40,can,18
41,don't,17
42,keep,17
43,work,16
44,they,16
45,he,16
46,country,16
47,up,16
48,john,16
49,new,16
50,change,15
51,by,15
52,about,15
53,or,14
54,need,13
55,their,13
56,been,13
57,me,12
58,that's,12
59,his,12
60,at,12
61,those,12
62,care,12
63,make,12
64,all,11
65,now,11
66,if,11
67,must,11
68,than,11
69,just,11
70,every,11
71,be,11
72,next,10
73,after,10
74,know,10
75,an,10
76,years,10
77,lives,9
78,these,9
79,out,9
80,people,9
81,economy,9
82,should,9
83,them,9
84,do,9
85,cannot,9
86,her,9
87,washington,9
88,it's,9
89,jobs,8
90,take,8
91,government,8
92,also,8
93,tonight,8
94,no,8
95,president,8
96,here,8
97,can't,8
98,nation,8
99,many,8
100,better,8
101,each,8
102,i've,8
103,would,8
104,young,8
105,doesn't,7
106,was,7
107,same,7
108,together,7
109,tell,7
110,americans,7
111,bush,7
112,democrats,7
113,families,7
114,own,7
115,i'll,7
116,future,7
117,education,7
118,into,7
119,before,6
120,there,6
121,help,6
122,iraq,6
123,hard,6
124,said,6
125,party,6
126,back,6
127,child,6
128,last,6
129,workers,6
130,she,6
131,health,6
132,measure,6
133,george,6
134,politics,6
135,am,6
136,let,6
137,seen,6
138,while,6
139,pay,6
140,tax,6
141,even,6
142,love,6
143,stand,5
144,well,5
145,where,5
146,two,5
147,higher,5
148,chance,5
149,senator,5
150,worked,5
151,off,5
152,how,5
153,like,5
154,companies,5
155,give,5
156,men,5
157,tough,5
158,made,5
159,could,5
160,night,5
161,united,5
162,home,5
163,great,5
164,working,5
165,end,5
166,states,5
167,election,5
168,war,4
169,go,4
170,small,4
171,meet,4
172,veterans,4
173,won't,4
174,oil,4
175,say,4
176,without,4
177,face,4
178,republicans,4
179,he's,4
180,ideas,4
181,progress,4
182,under,4
183,cars,4
184,past,4
185,once,4
186,else,4
187,afford,4
188,million,4
189,lost,4
190,then,4
191,were,4
192,women,4
193,agree,4
194,money,4
195,someone,4
196,plan,4
197,right,4
198,sick,4
199,too,4
200,think,4
201,come,4
202,dreams,4
203,college,4
204,walk,4
205,turn,4
206,against,4
207,look,4
208,family,4
209,alone,4
210,whether,4
211,again,4
212,invest,4
213,put,4
214,eight,4
215,america's,4
216,clear,4
217,woman,4
218,day,4
219,percent,4
220,only,4
221,man,4
222,strength,4
223,judgment,4
224,century,4
225,talk,4
226,nuclear,4
227,stood,4
228,most,4
229,businesses,4
230,restore,3
231,makes,3
232,clinton,3
233,power,3
234,military,3
235,never,3
236,kennedy,3
237,find,3
238,whiners,3
239,watch,3
240,security,3
241,moral,3
242,good,3
243,require,3
244,sense,3
245,responsibility,3
246,hear,3
247,part,3
248,idea,3
249,protect,3
250,children,3
251,ahead,3
252,afghanistan,3
253,threats,3
254,talking,3
255,across,3
256,heard,3
257,could've,3
258,hands,3
259,today,3
260,its,3
261,poverty,3
262,best,3
263,-,3
264,daughters,3
265,different,3
266,understand,3
267,troops,3
268,hope,3
269,fix,3
270,world,3
271,over,3
272,five,3
273,lead,3
274,old,3
275,pursue,3
276,taxes,3
277,create,3
278,still,3
279,generation,3
280,why,3
281,life,3
282,finally,3
283,first,3
284,stop,3
285,ago,3
286,proud,3
287,deserve,3
288,i'm,3
289,alive,3
290,says,3
291,moment,3
292,much,3
293,down,3
294,benefits,3
295,through,3
296,may,3
297,rise,3
298,safe,3
299,failure,3
300,something,3
301,provide,3
302,finish,3
303,challenges,3
304,get,3
305,long,3
306,she's,3
307,renewable,3
308,see,3
309,things,3
310,making,3
311,days,2
312,clean,2
313,line,2
314,does,2
315,army,2
316,programs,2
317,really,2
318,keeping,2
319,actually,2
320,nothing,2
321,obligation,2
322,respect,2
323,technology,2
324,likes,2
325,generations,2
326,standing,2
327,risk,2
328,decades,2
329,ours,2
330,start,2
331,which,2
332,fall,2
333,equal,2
334,fundamental,2
335,number,2
336,business,2
337,social,2
338,live,2
339,use,2
340,dignity,2
341,voted,2
342,ninety,2
343,cost,2
344,reward,2
345,very,2
346,keeper,2
347,travel,2
348,cut,2
349,middle-class,2
350,market,2
351,plans,2
352,kind,2
353,auto,2
354,affordable,2
355,billion,2
356,plant,2
357,built,2
358,fought,2
359,believe,2
360,student,2
361,going,2
362,addiction,2
363,longer,2
364,closing,2
365,god,2
366,ever,2
367,office,2
368,standards,2
369,way,2
370,ones,2
371,leave,2
372,settle,2
373,some,2
374,dollars,2
375,economic,2
376,exactly,2
377,ready,2
378,freedom,2
379,ten,2
380,mother,2
381,lobbyists,2
382,issue,2
383,energy,2
384,instead,2
385,hours,2
386,corporations,2
387,bill,2
388,able,2
389,send,2
390,giving,2
391,schools,2
392,big,2
393,fundamentals,2
394,breaks,2
395,ownership,2
396,strong,2
397,means,2
398,wrote,2
399,call,2
400,bless,2
401,losing,2
402,defeat,2
403,reach,2
404,forward,2
405,coming,2
406,everyone,2
407,direct,2
408,result,2
409,broken,2
410,lines,2
411,hold,2
412,policies,2
413,weapons,2
414,rebuild,2
415,decent,2
416,ohio,2
417,grateful,2
418,ballot,2
419,thank,2
420,retirement,2
421,herself,2
422,away,2
423,legacy,2
424,defend,2
425,equipment,2
426,georgia,2
427,iran,2
428,led,2
429,journey,2
430,moments,2
431,drive,2
432,patriotism,2
433,told,2
434,belief,2
435,run,2
436,always,2
437,set,2
438,individual,2
439,ensure,2
440,hundred,2
441,thirty,2
442,differences,2
443,soldiers,2
444,between,2
445,teachers,2
446,surely,2
447,takes,2
448,defining,2
449,four,2
450,common,2
451,wages,2
452,got,2
453,michelle,2
454,greatest,2
455,less,2
456,served,2
457,homes,2
458,watching,2
459,values,2
460,terrorist,2
461,any,2
462,news,2
463,commander-in-chief,2
464,ask,2
465,third,2
466,preacher,2
467,pledge,2
468,brought,2
469,march,2
470,wants,2
471,enough,2
472,words,2
473,debate,2
474,yes,2
475,week,2
476,called,2
477,serve,2
478,follow,2
479,laden,2
480,sights,2
481,admit,2
482,911,2
483,21st,2
484,independents,2
485,deficits,2
486,gratitude,2
487,fight,2
488,bin,2
489,republican,2
490,dick,2
491,society,1
492,is！you're,1
493,train,1
494,amtrak,1
495,fortune,1
496,lady,1
497,500,1
498,obama,1
499,profits,1
500,profound,1
501,sasha,1
502,malia！i,1
503,shared,1
504,tips,1
505,waitress,1
506,chairman,1
507,well-known,1
508,well-off,1
509,weren't,1
510,dean,1
511,friend,1
512,durbin,1
513,subscribed,1
514,kansas,1
515,discredited,1
516,kenya,1
517,philosophy！give,1
518,union,1
519,brief,1
520,story！of,1
521,prosperity,1
522,fellow,1
523,citizens,1
524,conductors,1
525,trickles,1
526,luck,1
527,humility,1
528,leaders,1
529,inspiration,1
530,job,1
531,pays,1
532,mortgage,1
533,ted,1
534,historic,1
535,president！when,1
536,case,1
537,little,1
538,extra,1
539,rodham,1
540,yours！hillary,1
541,month,1
542,billionaires,1
543,someday,1
544,champion,1
545,slate,1
546,receive,1
547,farthest！a,1
548,diploma,1
549,23,1
550,traveled,1
551,created,1
552,especially,1
553,candidates,1
554,average,1
555,embodies,1
556,son,1
557,service,1
558,accompanied,1
559,accept,1
560,ease,1
561,nomination,1
562,born,1
563,pull,1
564,yourself,1
565,2000,1
566,statesmen,1
567,bootstraps！even,1
568,finest,1
569,boots,1
570,presidency,1
571,you're,1
572,7500,1
573,express,1
574,thanks,1
575,biden,1
576,joe,1
577,vice,1
578,income,1
579,constitutes,1
580,saw,1
581,spirit,1
582,worn,1
583,gamble,1
584,anxiety,1
585,sleep,1
586,economy！senator,1
587,anything,1
588,independent,1
589,lets,1
590,compassionate,1
591,chief,1
592,advisors！the,1
593,went,1
594,felt,1
595,plan！was,1
596,explains,1
597,chokes,1
598,achieve,1
599,feeling,1
600,china,1
601,suffering,1
602,shipped,1
603,twenty,1
604,mental,1
605,recession,1
606,we've,1
607,become,1
608,quote,1
609,pack,1
610,indiana,1
611,streets,1
612,slide,1
613,lives！on,1
614,difference,1
615,bravery,1
616,nominee,1
617,distinction,1
618,owe,1
619,him,1
620,we'll,1
621,doubt,1
622,4th,1
623,occasions,1
624,evidence,1
625,deliver,1
626,november,1
627,cheney,1
628,record's,1
629,terms,1
630,minnesota,1
631,election！is,1
632,moment！this,1
633,land！enough,1
634,eyes,1
635,drowns,1
636,truth,1
637,city,1
638,major,1
639,sits,1
640,generous,1
641,michigan,1
642,lifetime,1
643,credit,1
644,plummet,1
645,year,1
646,propose,1
647,harder,1
648,hundreds,1
649,billions,1
650,threatened,1
651,uniform,1
652,moments！a,1
653,courage,1
654,janitors！found,1
655,nurses,1
656,penny,1
657,relief,1
658,farmers,1
659,offer,1
660,women！students,1
661,ordinary,1
662,jeopardy,1
663,people's,1
664,sacrifice,1
665,apart！that,1
666,privatize,1
667,mind,1
668,whatever,1
669,define,1
670,what's,1
671,disaster,1
672,card,1
673,found,1
674,illness,1
675,finds,1
676,kept,1
677,showing,1
678,brink,1
679,knew,1
680,counted,1
681,brakes,1
682,shoulder,1
683,burdens,1
684,silently,1
685,loved,1
686,w,1
687,fourth,1
688,fifth,1
689,tour,1
690,failed,1
691,duty,1
692,respond,1
693,government's,1
694,beyond,1
695,complaint,1
696,tuition,1
697,bills,1
698,turmoil,1
699,although,1
700,kid,1
701,ak-47s,1
702,plagued,1
703,gang-violence,1
704,cleveland,1
705,uphold,1
706,second,1
707,amendment,1
708,criminals,1
709,job！an,1
710,same-sex,1
711,marriage,1
712,gay,1
713,lesbian,1
714,brothers,1
715,sisters,1
716,rural,1
717,hunters,1
718,gun,1
719,reality,1
720,pregnancies,1
721,unwanted,1
722,reducing,1
723,abortion,1
724,purpose,1
725,purpose！our,1
726,trade,1
727,bigger,1
728,measured,1
729,worn-out,1
730,cast,1
731,choices,1
732,easy,1
733,visit,1
734,person,1
735,hospital,1
736,divides,1
737,horse,1
738,trojan,1
739,public,1
740,honest,1
741,firmer,1
742,larger,1
743,insistence,1
744,claim,1
745,happy,1
746,beliefs,1
747,such,1
748,dismiss,1
749,effort,1
750,unite,1
751,bridge,1
752,free,1
753,grace,1
754,democracy,1
755,promise！the,1
756,illegal,1
757,hiring,1
758,undercuts,1
759,employer,1
760,infant,1
761,separated,1
762,anyone,1
763,immigration,1
764,fly,1
765,passions,1
766,discrimination,1
767,america！they,1
768,blue,1
769,red,1
770,americans！democrats,1
771,diplomacy,1
772,renew,1
773,conflicts,1
774,taliban,1
775,qaeda,1
776,al,1
777,responsibly,1
778,battle,1
779,commitment,1
780,sacred,1
781,mission,1
782,harm's,1
783,hesitate,1
784,republicans！have,1
785,squandered,1
786,obtaining,1
787,policy,1
788,foreign,1
789,bush-mccain,1
790,roosevelt,1
791,choice！but,1
792,strategy,1
793,bad,1
794,alliances,1
795,oldest,1
796,strained,1
797,you've,1
798,truly,1
799,deter,1
800,israel,1
801,prevent,1
802,curb,1
803,flag,1
804,political,1
805,died,1
806,bled,1
807,battlefields,1
808,playbook,1
809,partisan,1
810,high,1
811,stakes,1
812,serious,1
813,times,1
814,character,1
815,other's,1
816,challenging,1
817,disagree,1
818,purposes,1
819,positions,1
820,russian,1
821,suggest,1
822,debating,1
823,weeks,1
824,yearn,1
825,peace,1
826,cause,1
827,disease,1
828,climate,1
829,genocide,1
830,proliferation,1
831,terrorism,1
832,partnerships,1
833,build,1
834,aggression,1
835,abandonment,1
836,traditional,1
837,expected,1
838,spite,1
839,picket,1
840,west,1
841,pioneers,1
842,oceans,1
843,cross,1
844,immigrants,1
845,yours！a,1
846,tuck,1
847,inheritance,1
848,bend,1
849,around,1
850,place,1
851,unseen,1
852,eye,1
853,binds,1
854,corner,1
855,uncertain,1
856,path,1
857,pushes,1
858,promise！that,1
859,spirit！that,1
860,shores,1
861,keeps,1
862,envy,1
863,culture,1
864,universities,1
865,earth,1
866,powerful,1
867,rich,1
868,wealth,1
869,forty,1
870,land,1
871,strikes,1
872,destiny,1
873,confess,1
874,wavering,1
875,firmly,1
876,scripture,1
877,mend,1
878,save,1
879,farms,1
880,cities,1
881,educate,1
882,done,1
883,shall,1
884,cried,1
885,linked,1
886,inextricably,1
887,life！is,1
888,mall,1
889,color,1
890,creed,1
891,instead！people,1
892,deferred,1
893,frustration,1
894,fear,1
895,succumb,1
896,discord,1
897,anger,1
898,gathered,1
899,dream,1
900,speak,1
901,memorial,1
902,lincoln's,1
903,floodwaters,1
904,hurricane,1
905,fresh,1
906,hoping,1
907,eighteen,1
908,nay-sayers,1
909,stirring,1
910,halls,1
911,career,1
912,spent,1
913,haven't,1
914,pedigree,1
915,typical,1
916,fit,1
917,candidate,1
918,likeliest,1
919,realize,1
920,already,1
921,dashed,1
922,try,1
923,hopes,1
924,empty,1
925,seem,1
926,promises,1
927,cynicism,1
928,feeds,1
929,what！it's,1
930,opponent,1
931,paint,1
932,record,1
933,voters,1
934,scare,1
935,tactics,1
936,stale,1
937,months,1
938,players,1
939,stranger,1
940,open,1
941,neighbors,1
942,limb,1
943,re-enlist,1
944,lose,1
945,friends,1
946,rather,1
947,did,1
948,democratic,1
949,pick,1
950,they'd,1
951,thought,1
952,involved,1
953,campaign,1
954,accountable,1
955,welfare,1
956,expect,1
957,moved,1
958,provided,1
959,illinois,1
960,lived,1
961,leadership,1
962,insist,1
963,it！because,1
964,demand,1
965,happens,1
966,comes,1
967,us！that,1
968,teaches,1
969,history,1
970,shown,1
971,occupying,1
972,countries,1
973,eighty,1
974,opportunity,1
975,overseas,1
976,ship,1
977,unlike,1
978,code,1
979,mean,1
980,spell,1
981,sister's,1
982,brother's,1
983,ourselves,1
984,responsible,1
985,america！the,1
986,willing,1
987,who's,1
988,influence,1
989,hurt,1
990,capital,1
991,science,1
992,roads,1
993,toys,1
994,water,1
995,harm,1
996,ourselves！protect,1
997,problems,1
998,solve,1
999,road,1
1000,rules,1
1001,play,1
1002,responsibilities,1
1003,growth,1
1004,generate,1
1005,eliminate,1
1006,gains,1
1007,other,1
1008,twenty-six,1
1009,natural,1
1010,tap,1
1011,close,1
1012,solution,1
1013,long-term,1
1014,stop-gap,1
1015,drilling,1
1016,took,1
1017,amount,1
1018,triple,1
1019,import,1
1020,fuels,1
1021,investments,1
1022,fuel-efficiency,1
1023,washington's,1
1024,start-ups,1
1025,east,1
1026,middle,1
1027,dependence,1
1028,goal,1
1029,planet,1
1030,sake,1
1031,raise,1
1032,thing,1
1033,95,1
1034,taxes！for,1
1035,taxes！cut,1
1036,tomorrow,1
1037,high-tech,1
1038,high-wage,1
1039,innovation,1
1040,treat,1
1041,reserves,1
1042,shift,1
1043,factory,1
1044,worker,1
1045,another,1
1046,listen,1
1047,scholarships,1
1048,loans,1
1049,stamps,1
1050,food,1
1051,turned,1
1052,degree,1
1053,earned,1
1054,sister,1
1055,raised,1
1056,mom,1
1057,three,1
1058,remember,1
1059,sleeps,1
1060,gi,1
1061,rewarded,1
1062,patton's,1
1063,marched,1
1064,harbor,1
1065,pearl,1
1066,signed,1
1067,grandfather,1
1068,faces,1
1069,reason,1
1070,great！a,1
1071,living,1
1072,honors,1
1073,shut,1
1074,south,1
1075,win,1
1076,buying,1
1077,intend,1
1078,behalf,1
1079,shaped,1
1080,stories,1
1081,theirs,1
1082,heroes,1
1083,mine,1
1084,celebrities,1
1085,thinks,1
1086,had,1
1087,everything,1
1088,poured,1
1089,dress,1
1090,car,1
1091,taught,1
1092,side,1
1093,promotions,1
1094,passed,1
1095,being,1
1096,despite,1
